date_str,rth_hectares
01/01/2010,
01/02/2010,
01/03/2010,
01/04/2010,
01/05/2010,
01/06/2010,
01/07/2010,
01/08/2010,17.1454
01/09/2010,
01/10/2010,
01/11/2010,
01/12/2010,
01/01/2011,
01/02/2011,
01/03/2011,
01/04/2011,
01/05/2011,
01/06/2011,
01/07/2011,
01/08/2011,
01/09/2011,
01/10/2011,
01/11/2011,
01/12/2011,
01/01/2012,
01/02/2012,
01/03/2012,24.772
01/04/2012,2.9693
01/05/2012,
01/06/2012,4.049
01/07/2012,0.8098
01/08/2012,0.3599
01/09/2012,
01/10/2012,
01/11/2012,
01/12/2012,6.0317
01/01/2013,
01/02/2013,
01/03/2013,
01/04/2013,
01/05/2013,
01/06/2013,26.0955
01/07/2013,
01/08/2013,25.4442
01/09/2013,17.4855
01/10/2013,13.0469
01/11/2013,
01/12/2013,
01/01/2014,
01/02/2014,
01/03/2014,
01/04/2014,36.2115
01/05/2014,
01/06/2014,18.754
01/07/2014,
01/08/2014,17.8176
01/09/2014,15.0797
01/10/2014,17.3154
01/11/2014,
01/12/2014,
01/01/2015,
01/02/2015,
01/03/2015,
01/04/2015,
01/05/2015,16.1491
01/06/2015,
01/07/2015,
01/08/2015,15.9672
01/09/2015,
01/10/2015,4.139
01/11/2015,0.0
01/12/2015,
01/01/2016,19.194
01/02/2016,
01/03/2016,34.6615
01/04/2016,
01/05/2016,30.3094
01/06/2016,21.7546
01/07/2016,
01/08/2016,38.8746
01/09/2016,
01/10/2016,
01/11/2016,
01/12/2016,
01/01/2017,
01/02/2017,
01/03/2017,
01/04/2017,
01/05/2017,
01/06/2017,14.4548
01/07/2017,27.8521
01/08/2017,
01/09/2017,
01/10/2017,3.1493
01/11/2017,
01/12/2017,
01/01/2018,
01/02/2018,
01/03/2018,
01/04/2018,48.8474
01/05/2018,
01/06/2018,
01/07/2018,24.0945
01/08/2018,
01/09/2018,27.1086
01/10/2018,10.3476
01/11/2018,
01/12/2018,
01/01/2019,
01/02/2019,
01/03/2019,
01/04/2019,8.6514
01/05/2019,28.4798
01/06/2019,
01/07/2019,15.5638
01/08/2019,9.025
01/09/2019,13.4608
01/10/2019,
01/11/2019,
01/12/2019,
01/01/2020,
01/02/2020,
01/03/2020,
01/04/2020,42.7694
01/05/2020,44.1259
01/06/2020,
01/07/2020,28.9763
01/08/2020,22.0676
01/09/2020,
01/10/2020,
01/11/2020,
01/12/2020,12.7198
01/01/2021,
01/02/2021,
01/03/2021,
01/04/2021,
01/05/2021,39.8379
01/06/2021,
01/07/2021,17.3769
01/08/2021,48.0545
01/09/2021,54.8227
01/10/2021,
01/11/2021,
01/12/2021,0.0
01/01/2022,
01/02/2022,
01/03/2022,52.311
01/04/2022,
01/05/2022,34.0992
01/06/2022,
01/07/2022,19.4647
01/08/2022,28.0761
01/09/2022,45.7571
01/10/2022,
01/11/2022,
01/12/2022,
01/01/2023,
01/02/2023,
01/03/2023,
01/04/2023,22.3785
01/05/2023,40.5358
01/06/2023,22.6389
01/07/2023,33.7903
01/08/2023,27.3331
01/09/2023,19.9372
01/10/2023,5.7364
01/11/2023,
01/12/2023,
01/01/2024,
01/02/2024,
01/03/2024,30.0609
01/04/2024,42.7215
01/05/2024,25.9636
01/06/2024,
01/07/2024,26.4904
01/08/2024,21.9763
01/09/2024,40.8668
01/10/2024,59.0407
01/11/2024,
01/12/2024,
