TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,86.13333333333334,85.58064516129032,84.6774193548387,86.0,86.0,84.80645161290323,84.3225806451613,85.83870967741936,82.48387096774194,83.03225806451613,79.38709677419355,84.80645161290323,83.29032258064517,82.2258064516129,81.70967741935483
2,82.67857142857143,84.85714285714286,85.06896551724138,86.0,86.0,87.17857142857143,81.48275862068965,86.21428571428571,84.10714285714286,83.0,78.82758620689656,83.10714285714286,84.07142857142857,82.10714285714286,82.6896551724138
3,85.45161290322581,87.16129032258064,88.06451612903226,86.0,86.0,90.0,85.83870967741936,86.2258064516129,84.45161290322581,81.06451612903226,84.96774193548387,84.58064516129032,85.74193548387096,83.93548387096774,83.12903225806451
4,92.0,87.03333333333333,85.76666666666667,86.0,86.0,90.0,85.6,87.76666666666667,86.83333333333333,84.66666666666667,85.66666666666667,85.63333333333334,86.56666666666666,84.03333333333333,88.7
5,90.35483870967742,89.83870967741936,89.38709677419355,86.0,86.0,90.0,87.83870967741936,88.58064516129032,86.93548387096774,86.61290322580645,86.35483870967742,87.70967741935483,86.58064516129032,86.16129032258064,89.74193548387096
6,90.1,91.2,90.73333333333333,86.0,86.0,90.0,88.13333333333334,88.03333333333333,87.86666666666666,88.5,88.86666666666666,86.53333333333333,87.36666666666666,87.86666666666666,90.96666666666667
7,95.0,89.38709677419355,90.38709677419355,86.0,86.0,90.0,90.64516129032258,88.0,87.87096774193549,90.3225806451613,88.80645161290323,88.2258064516129,91.38709677419355,87.6774193548387,89.93548387096774
8,89.7741935483871,89.0,92.12903225806451,86.0,86.0,90.0,89.83870967741936,88.93548387096774,87.80645161290323,75.06451612903226,87.38709677419355,87.2258064516129,89.3225806451613,87.61290322580645,92.29032258064517
9,88.0,90.33333333333333,91.33333333333333,86.0,86.0,90.0,89.3,89.36666666666666,86.5,89.03333333333333,85.76666666666667,87.26666666666667,87.9,89.26666666666667,88.93333333333334
10,85.90322580645162,88.3225806451613,87.0,86.0,86.0,90.0,87.90322580645162,86.38709677419355,86.90322580645162,87.45161290322581,86.12903225806451,86.3225806451613,84.96774193548387,85.0,89.38709677419355
11,87.2,84.46666666666667,85.8,86.0,86.0,83.86666666666666,85.13333333333334,84.6,83.33333333333333,82.96666666666667,84.3,85.5,84.1,82.2,86.76666666666667
12,85.83870967741936,85.7741935483871,86.83870967741936,86.0,86.0,88.0,83.7741935483871,83.83870967741936,84.3225806451613,78.38709677419355,82.29032258064517,81.96774193548387,81.80645161290323,82.2258064516129,86.2258064516129
