TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,22.633333333333333,22.64516129032258,23.387096774193548,23.129032258064516,22.93548387096774,23.193548387096776,22.580645161290324,23.451612903225808,23.70967741935484,23.238709677419354,23.032258064516128,22.92258064516129,23.041935483870965,23.18064516129032,23.503225806451614
2,23.285714285714285,22.714285714285715,23.137931034482758,22.857142857142858,22.75,23.178571428571427,21.620689655172413,23.321428571428573,23.642857142857142,23.085714285714285,23.544827586206896,23.192857142857143,22.978571428571428,23.460714285714285,24.00344827586207
3,23.258064516129032,23.0,23.29032258064516,23.032258064516128,23.35483870967742,25.0,21.516129032258064,23.580645161290324,23.193548387096776,22.864516129032257,23.358064516129033,22.835483870967742,23.041935483870965,23.174193548387095,24.05806451612903
4,24.0,23.166666666666668,23.333333333333332,22.966666666666665,23.2,25.0,23.4,23.666666666666668,23.166666666666668,23.416666666666668,23.446666666666665,23.003333333333334,23.459999999999997,23.116666666666667,24.103333333333335
5,24.129032258064516,23.193548387096776,23.35483870967742,22.70967741935484,23.225806451612904,25.0,23.225806451612904,24.0,23.0,23.212903225806453,23.551612903225806,23.348387096774193,23.32903225806452,23.62258064516129,24.093548387096774
6,23.103448275862068,22.866666666666667,22.433333333333334,22.6,22.966666666666665,25.0,23.3,23.266666666666666,22.333333333333332,23.0,22.81,22.509999999999998,22.720000000000002,23.07,23.503333333333334
7,22.0,22.419354838709676,22.580645161290324,22.35483870967742,22.483870967741936,25.0,23.0,23.258064516129032,22.677419354838708,21.806451612903224,22.75483870967742,22.629032258064516,22.84193548387097,22.864516129032257,22.94193548387097
8,22.806451612903224,22.225806451612904,22.129032258064516,22.225806451612904,22.29032258064516,25.0,22.774193548387096,23.0,22.225806451612904,18.096774193548388,22.654838709677417,22.580645161290324,22.51290322580645,22.138709677419353,23.193548387096776
9,24.0,22.733333333333334,22.6,22.466666666666665,22.333333333333332,25.0,23.3,23.333333333333332,22.1,21.7,22.673333333333336,22.740000000000002,22.61,22.34,23.40666666666667
10,23.258064516129032,22.838709677419356,22.806451612903224,22.70967741935484,22.451612903225808,25.0,23.548387096774192,23.548387096774192,22.612903225806452,22.677419354838708,23.1,23.038709677419355,23.370967741935484,23.312903225806455,23.74516129032258
11,23.166666666666668,23.033333333333335,22.9,22.666666666666668,22.933333333333334,23.9,23.566666666666666,23.766666666666666,22.966666666666665,22.933333333333334,23.386666666666667,23.366666666666667,23.176666666666666,23.123333333333335,23.92
12,22.806451612903224,23.483870967741936,22.838709677419356,23.129032258064516,23.161290322580644,24.0,23.612903225806452,23.70967741935484,23.29032258064516,23.27741935483871,23.322580645161292,23.451612903225808,23.125806451612902,24.041935483870965,24.212903225806453
