TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,11.036666666666667,7.95483870967742,8.190322580645162,9.225806451612904,0.0,13.306451612903226,2.0193548387096776,8.903225806451612,10.138709677419355,11.483870967741936,5.516129032258065,8.474193548387097,8.825806451612904,11.44516129032258,4.109677419354839
2,2.2285714285714286,12.707142857142857,7.879310344827586,7.789285714285714,0.0,13.339285714285714,6.848275862068966,6.421428571428572,6.721428571428571,8.085714285714285,7.793103448275862,7.528571428571429,13.042857142857143,14.935714285714285,10.624137931034484
3,14.94516129032258,5.819354838709677,16.183870967741935,4.851612903225806,5.380645161290323,7.6,13.235483870967743,9.106451612903227,15.861290322580645,12.30967741935484,11.370967741935484,9.435483870967742,15.180645161290322,8.506451612903225,15.896774193548387
4,0.0,10.103333333333333,4.53,20.336666666666666,0.0,7.6,1.7133333333333334,9.063333333333333,9.203333333333331,6.923333333333334,13.653333333333334,21.453333333333333,14.46,18.38,9.976666666666667
5,8.406451612903224,12.841935483870968,22.258064516129032,14.832258064516129,6.448387096774193,7.6,8.209677419354838,14.229032258064516,11.170967741935485,10.212903225806452,12.577419354838709,22.738709677419354,11.861290322580645,11.583870967741936,21.932258064516127
6,12.69,27.57,38.78666666666666,9.923333333333334,11.979999999999999,7.6,13.66,13.516666666666667,15.003333333333332,10.889999999999999,20.113333333333333,6.1866666666666665,11.276666666666667,20.55666666666667,17.59333333333333
7,0.0,10.62258064516129,10.567741935483872,21.26451612903226,6.151612903225806,7.6,35.62903225806452,13.174193548387098,7.009677419354839,11.770967741935483,9.654838709677419,20.91290322580645,43.25806451612903,25.932258064516127,19.5258064516129
8,15.906451612903227,9.980645161290322,15.280645161290321,13.538709677419355,7.509677419354839,7.6,11.038709677419355,0.7709677419354838,8.161290322580646,4.161290322580645,15.283870967741937,10.258064516129032,26.929032258064513,13.006451612903225,18.79032258064516
9,0.6,12.76,11.856666666666666,11.856666666666666,3.216666666666667,7.6,9.030000000000001,15.893333333333334,9.806666666666667,7.260000000000001,11.7,16.936666666666667,15.846666666666666,31.52,16.296666666666667
10,6.735483870967742,6.780645161290322,9.125806451612902,0.0,1.070967741935484,7.6,20.29032258064516,13.070967741935483,7.880645161290322,15.687096774193549,10.35483870967742,13.912903225806453,11.44516129032258,6.387096774193548,22.57741935483871
11,7.046666666666667,8.04,6.069999999999999,7.576666666666667,5.513333333333334,3.1666666666666665,6.8966666666666665,4.873333333333333,9.79,3.9966666666666666,6.489999999999999,11.48,7.75,11.576666666666666,12.913333333333332
12,12.016129032258064,10.738709677419354,11.548387096774194,6.090322580645162,7.145161290322581,2.8,12.996774193548388,9.161290322580646,15.041935483870969,4.090322580645161,4.606451612903226,12.580645161290322,18.94193548387097,6.519354838709678,14.399999999999999
