TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,26.34,25.677419354838708,26.20967741935484,26.35483870967742,26.38064516129032,26.570967741935483,27.029032258064515,26.73548387096774,26.838709677419356,26.858064516129033,27.348387096774193,26.18064516129032,26.451612903225808,26.23548387096774,27.677419354838708
2,26.967857142857145,25.75357142857143,25.96206896551724,26.271428571428572,26.592857142857145,26.25357142857143,27.099999999999998,26.478571428571428,26.36785714285714,26.49642857142857,27.24137931034483,26.485714285714288,25.982142857142858,26.810714285714287,27.42758620689655
3,26.38064516129032,25.593548387096774,25.638709677419353,26.648387096774194,25.967741935483872,26.1,26.799999999999997,26.593548387096774,26.54516129032258,26.55483870967742,26.270967741935483,26.096774193548388,25.951612903225808,26.29032258064516,27.4
4,25.6,25.873333333333335,26.123333333333335,26.196666666666665,26.18,26.1,26.39,26.40666666666667,26.040000000000003,26.576666666666664,26.413333333333334,26.053333333333335,26.259999999999998,26.493333333333332,26.9
5,26.40967741935484,25.419354838709676,25.432258064516127,25.73548387096774,25.9741935483871,26.1,26.53548387096774,26.64516129032258,26.103225806451615,26.212903225806453,26.461290322580645,25.95483870967742,26.248387096774195,26.338709677419356,26.661290322580644
6,25.416666666666668,24.58,24.676666666666666,25.573333333333334,25.436666666666667,26.1,25.85666666666667,25.933333333333334,25.240000000000002,25.233333333333334,25.283333333333335,25.453333333333333,25.563333333333333,25.77,25.706666666666667
7,24.3,24.60967741935484,24.796774193548387,24.903225806451612,24.483870967741936,26.1,25.048387096774192,25.93548387096774,24.97741935483871,23.912903225806453,25.080645161290324,25.161290322580644,24.806451612903224,25.30322580645161,25.051612903225806
8,25.27741935483871,24.280645161290323,24.306451612903224,24.67096774193548,24.203225806451613,26.1,25.12258064516129,25.70967741935484,24.825806451612905,23.638709677419353,25.129032258064516,25.348387096774193,25.038709677419355,24.567741935483873,25.177419354838708
9,25.9,24.826666666666664,24.993333333333332,25.416666666666668,24.78666666666667,26.1,25.953333333333333,25.766666666666666,25.14,24.15,26.016666666666666,25.566666666666666,25.40666666666667,24.636666666666667,26.043333333333333
10,26.26451612903226,25.62258064516129,26.03548387096774,25.406451612903226,25.883870967741935,26.1,26.448387096774194,26.64516129032258,25.616129032258065,25.761290322580646,26.216129032258067,26.138709677419353,26.570967741935487,26.39032258064516,26.548387096774192
11,26.040000000000003,26.396666666666665,26.476666666666667,25.78666666666667,26.6,27.266666666666666,27.223333333333336,27.046666666666667,26.956666666666667,26.64333333333333,26.686666666666667,26.583333333333332,26.633333333333333,27.676666666666666,27.153333333333332
12,25.990322580645163,26.306451612903224,26.32903225806452,26.258064516129032,26.27741935483871,26.6,27.364516129032257,27.129032258064516,26.799999999999997,27.48709677419355,26.787096774193547,26.903225806451612,26.616129032258065,27.896774193548385,27.36774193548387
