TAHUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,30.78666666666667,30.187096774193545,30.95483870967742,30.61935483870968,30.851612903225806,30.967741935483872,31.270967741935483,30.845161290322583,31.493548387096773,31.116129032258065,31.980645161290322,30.43548387096774,30.580645161290324,31.048387096774192,32.26451612903226
2,31.557142857142857,30.335714285714285,30.882758620689657,30.592857142857145,31.010714285714283,30.035714285714285,31.0,30.460714285714285,30.75,30.571428571428573,31.97241379310345,30.742857142857144,29.70357142857143,31.42142857142857,32.3551724137931
3,30.870967741935484,30.561290322580643,30.29032258064516,31.18064516129032,29.870967741935484,29.2,30.287096774193547,31.23225806451613,30.33225806451613,31.01290322580645,30.425806451612903,30.129032258064516,30.13225806451613,30.509677419354837,32.21612903225807
4,29.8,30.06,30.526666666666664,30.273333333333333,30.10666666666667,29.2,32.10666666666667,29.91,29.5,30.3,30.12,29.77,30.173333333333336,30.353333333333335,31.323333333333334
5,30.16774193548387,29.561290322580643,29.664516129032258,29.65806451612903,29.716129032258067,29.2,29.80322580645161,29.683870967741935,29.541935483870965,29.561290322580643,29.86774193548387,29.316129032258065,30.270967741935483,29.687096774193545,30.406451612903226
6,29.013333333333332,27.823333333333334,28.006666666666668,29.613333333333333,28.666666666666668,29.2,29.046666666666667,29.063333333333333,28.44333333333333,27.86,28.740000000000002,28.94333333333333,29.39333333333333,28.956666666666667,29.34
7,26.0,28.01290322580645,27.948387096774194,28.496774193548386,27.46451612903226,29.2,27.893548387096775,29.070967741935487,28.07741935483871,26.48709677419355,28.0258064516129,28.567741935483873,28.02258064516129,28.893548387096775,28.80322580645161
8,28.89032258064516,28.225806451612904,27.258064516129032,27.94516129032258,27.038709677419355,29.2,27.761290322580646,29.396774193548385,27.98709677419355,28.996774193548386,28.177419354838708,28.799999999999997,28.338709677419356,27.87741935483871,28.983870967741936
9,29.8,28.39333333333333,28.09333333333333,28.293333333333333,28.05,29.2,28.986666666666668,28.553333333333335,28.413333333333334,26.926666666666666,28.926666666666666,29.046666666666667,29.240000000000002,27.853333333333335,30.32
10,30.5,30.0258064516129,29.948387096774194,29.251612903225805,29.774193548387096,29.2,29.748387096774195,29.883870967741935,28.932258064516127,29.26774193548387,29.70967741935484,29.806451612903224,30.451612903225808,29.683870967741935,30.835483870967742
11,30.386666666666667,30.966666666666665,30.833333333333332,30.333333333333332,30.586666666666666,30.52,30.496666666666666,30.716666666666665,30.696666666666665,30.19333333333333,30.30666666666667,30.403333333333332,30.8,31.813333333333333,31.44
12,30.219354838709677,31.05806451612903,31.116129032258065,30.458064516129035,30.26451612903226,35.0,30.68064516129032,30.419354838709676,30.77741935483871,31.54516129032258,30.425806451612903,30.416129032258063,30.88064516129032,31.925806451612903,31.200000000000003
